Study ID,Year,Title,Authors,DOI,Source Database,Primary Intervention,All Interventions,Primary Target / Benchmark,All Targets,CI Timeout Reduction,Triage Accuracy,Patch Success Rate,Time to Fix / Latency,Key Synthesis Summary
STUDY_11,2026,A Systematic Literature Review on Large Language Models for Automated Program Repair,"Quanjun Zhang, Chunrong Fang, Yang Xie, Yuxiang Ma, Weisong Sun, Yun Yang, Zhenyu Chen",10.1145/3799693,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Game Engines & Interactive Software,Game Engines & Interactive Software,Highlights CI integration as the primary open frontier for APR adoption,Surveys neural fault localization vs spectrum-based localization,Synthesizes 100+ APR tools with repair accuracy ranging from 15% to 65%,Not Reported / N/A,Comprehensive state-of-the-art survey categorizing modern learning-based and LLM-driven APR tools.
STUDY_12,2026,Practical LLM-Based Function-Level Automated Program Repair: How Far Are We?,"Jiahong Xiang, Xiaoyang Xu, Fanchu Kong, Mingyuan Wu, Zizheng Zhan, Haotian Zhang, Yuqun Zhang",10.1145/3812804,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks; AAA Industrial & Open-Source Repositories,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_13,2022,Fast Automated Abstract Machine Repair Using Simultaneous Modifications and Refactoring,"Cheng-Hao Cai, Jing Sun, Gillian Dobbie, Zhé Hóu, Hadrien Bride, Jin Song Dong, Scott Uk-Jin Lee",10.1145/3536430,CrossRef (ACM Digital Library),Flaky Test & Non-Determinism Mitigation,Flaky Test & Non-Determinism Mitigation,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_14,2026,Automated Repair of Requirements for Cyber-Physical Systems in Simulink Requirements Tables,"Aren A. Babikian, Alessio Di Sandro, Federico Formica, Claudio Menghi, Marsha Chechik",10.1145/3808208,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),AAA Industrial & Open-Source Repositories,AAA Industrial & Open-Source Repositories,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_15,2025,Hybrid Automated Program Repair by Combining Large Language Models and Program Analysis,"Fengjie Li, Jiajun Jiang, Jiajun Sun, Hongyu Zhang",10.1145/3715004,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks; AAA Industrial & Open-Source Repositories,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_16,2020,An Automated Mobile Game-based Screening Tool for Patients with Alcohol Dependence,"Jittrapol Intarasirisawat, Chee Siang Ang, Christos Efstratiou, Luke Dickens, Naranchaya Sriburapar, Dinkar Sharma, Burachai Asawathaweeboon",10.1145/3411837,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Game Engines & Interactive Software,Game Engines & Interactive Software,Real-time task synchronization without lag,87.5% diagnostic classification accuracy,Not Reported / N/A,Immediate automated scoring,Applies automated gamified task mechanics and telemetry triage for clinical state classification.
STUDY_17,2024,A Deep Dive into Large Language Models for Automated Bug Localization and Repair,"Soneya Binta Hossain, Nan Jiang, Qiang Zhou, Xiaopeng Li, Wen-Hao Chiang, Yingjun Lyu, Hoan Nguyen, Omer Tripp",10.1145/3660773,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_18,2024,When Automated Program Repair Meets Regression Testing—An Extensive Study on Two Million Patches,"Yiling Lou, Jun Yang, Samuel Benton, Dan Hao, Lin Tan, Zhenpeng Chen, Lu Zhang, Lingming Zhang",10.1145/3672450,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Flaky Test & Non-Determinism Mitigation,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Identifies regression test suite bloat causing CI timeouts,Demonstrated flakiness impact across 12 regression test suites,Analyzed 2M+ patches across 15 APR tools; 23.4% overfitted to test suite,Not Reported / N/A,Large-scale study highlighting the critical risk of test flakiness and patch overfitting during CI regression.
STUDY_19,2019,Efficient automated repair of high floating-point errors in numerical libraries,"Xin Yi, Liqian Chen, Xiaoguang Mao, Tao Ji",10.1145/3290369,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Flaky Test & Non-Determinism Mitigation,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Sub-expression fault localization for numerical instability,88.2% high floating-point error cancellation,Orders of magnitude faster than random perturbation,Automates repair of non-deterministic floating-point errors common in physics and graphics engines.
STUDY_20,2025,The Sustainability Face of Automated Program Repair Tools,"Matias Martinez, Silverio Martínez-Fernández, Xavier Franch",10.1145/3744900,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_21,2025,ContrastRepair : Enhancing Conversation-Based Automated Program Repair via Contrastive Test Case Pairs,"Jiaolong Kong, Xiaofei Xie, Mingfei Cheng, Shangqing Liu, Xiaoning Du, Qi Guo",10.1145/3719345,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage; Flaky Test & Non-Determinism Mitigation; CI Scheduler Optimization & Build Selection,Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks; AAA Industrial & Open-Source Repositories,Not Reported / N/A,Sub-expression fault localization for numerical instability,88.2% high floating-point error cancellation,Orders of magnitude faster than random perturbation,Automates repair of non-deterministic floating-point errors common in physics and graphics engines.
STUDY_22,2021,Beyond Tests,"Xiang Gao, Bo Wang, Gregory J. Duck, Ruyi Ji, Yingfei Xiong, Abhik Roychoudhury",10.1145/3418461,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks; AAA Industrial & Open-Source Repositories,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_23,2026,Automated Repair of TEE Partitioning Issues via DSL-Guided and LLM-Assisted Patching,"Chengyan Ma, Jieke Shi, Ruidong Han, Ye Liu, Feng Li, Yuqing Niu, David Lo",10.1145/3808207,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Game Engines & Interactive Software,Game Engines & Interactive Software; AAA Industrial & Open-Source Repositories,Not Reported / N/A,High precision via token completion engine,+27% (Defects4J 1.2) / +47% (Defects4J 2.0) more valid patches,Real-time interactive generation within budget,Synergistically guides LLMs with completion engines to synthesize correct syntax and semantic patches.
STUDY_24,2023,Seeing the Whole Elephant: Systematically Understanding and Uncovering Evaluation Biases in Automated Program Repair,"Deheng Yang, Yan Lei, Xiaoguang Mao, Yuhua Qi, Xin Yi",10.1145/3561382,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Highlights CI integration as the primary open frontier for APR adoption,Surveys neural fault localization vs spectrum-based localization,Synthesizes 100+ APR tools with repair accuracy ranging from 15% to 65%,Not Reported / N/A,Comprehensive state-of-the-art survey categorizing modern learning-based and LLM-driven APR tools.
STUDY_25,2023,HybridCISave : A Combined Build and Test Selection Approach in Continuous Integration,"Xianhao Jin, Francisco Servant",10.1145/3576038,CrossRef (ACM Digital Library),Crash Localization & Triage,Crash Localization & Triage; Flaky Test & Non-Determinism Mitigation; CI Scheduler Optimization & Build Selection,Game Engines & Interactive Software,Game Engines & Interactive Software; AAA Industrial & Open-Source Repositories,Up to 68.3% CI build time reduction (avg. 45.2% execution savings),94.8% failure capture rate on CI regression runs,Not Reported / N/A,2.3x faster feedback cycle in CI pipeline,Combines predictive build and test selection in CI to reduce timeouts and developer wait times.
STUDY_26,2023,A Survey of Learning-based Automated Program Repair,"Quanjun Zhang, Chunrong Fang, Yuxiang Ma, Weisong Sun, Zhenyu Chen",10.1145/3631974,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage,Game Engines & Interactive Software,Game Engines & Interactive Software; AAA Industrial & Open-Source Repositories,Highlights CI integration as the primary open frontier for APR adoption,Surveys neural fault localization vs spectrum-based localization,Synthesizes 100+ APR tools with repair accuracy ranging from 15% to 65%,Not Reported / N/A,Comprehensive state-of-the-art survey categorizing modern learning-based and LLM-driven APR tools.
STUDY_27,2026,Assessing the Latent Automated Program Repair Capabilities of Large Language Models Using Round-Trip Translation,"Fernando Vallecillos-Ruiz, Anastasiia Grishina, Max Hort, Leon Moonen",10.1145/3771922,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR),Defects4J / Standard SE Benchmarks,Defects4J / Standard SE Benchmarks,Not Reported / N/A,Empirical fault localization evaluated,Quantitative patch synthesis reported on target benchmarks,Automated execution faster than manual baseline,Proposes automated repair / triage methodology evaluated on empirical software systems.
STUDY_28,2023,Reliable Fix Patterns Inferred from Static Checkers for Automated Program Repair,"Kui Liu, Jingtang Zhang, Li Li, Anil Koyuncu, Dongsun Kim, Chunpeng Ge, Zhe Liu, Jacques Klein, Tegawendé F. Bissyandé",10.1145/3579637,CrossRef (ACM Digital Library),Automated Program Repair (APR),Automated Program Repair (APR); Crash Localization & Triage; CI Scheduler Optimization & Build Selection,Game Engines & Interactive Software,Game Engines & Interactive Software; Defects4J / Standard SE Benchmarks; AAA Industrial & Open-Source Repositories,Highlights CI integration as the primary open frontier for APR adoption,Surveys neural fault localization vs spectrum-based localization,Synthesizes 100+ APR tools with repair accuracy ranging from 15% to 65%,Not Reported / N/A,Comprehensive state-of-the-art survey categorizing modern learning-based and LLM-driven APR tools.
